base_binaria,top_variables,type_encoding,sacar_pas_0,sacar_buenos_aires,minutos_retraso,balanceo,modelo,f1_score_retrasos,recal_retrasos,precision_retrasos,total_accuracy
False,False,label,True,False,15,Oversampling,Decision Tree,0.18,0.186,0.174,0.513
False,False,label,True,False,15,Smote,Decision Tree,0.202,0.225,0.182,0.515
False,False,label,True,False,15,Oversampling,Random forest,0.206,0.165,0.274,0.592
False,False,label,True,False,15,Smote,Random forest,0.19,0.144,0.277,0.601
False,False,label,True,False,15,Oversampling,XG Boost,0.311,0.495,0.227,0.512
False,False,label,True,False,15,Smote,XG Boost,0.115,0.066,0.461,0.637
False,False,label,True,False,15,Oversampling,RegresiÃ³n logÃ­stica,0.257,0.461,0.178,0.413
False,False,label,True,False,15,Oversampling,SGD,0.246,0.402,0.177,0.332
False,False,label,True,False,15,Smote,RegresiÃ³n logÃ­stica,0.259,0.474,0.178,0.408
False,False,label,True,False,15,Smote,SGD,0.249,0.419,0.177,0.332
False,False,label,True,False,30,Oversampling,Decision Tree,0.132,0.136,0.128,0.823
False,False,label,True,False,30,Smote,Decision Tree,0.149,0.175,0.13,0.805
False,False,label,True,False,30,Oversampling,Random forest,0.098,0.064,0.214,0.884
False,False,label,True,False,30,Smote,Random forest,0.112,0.072,0.249,0.885
False,False,label,True,False,30,Oversampling,XG Boost,0.226,0.508,0.146,0.597
False,False,label,True,False,30,Smote,XG Boost,0.052,0.028,0.383,0.896
False,False,label,True,False,30,Oversampling,RegresiÃ³n logÃ­stica,0.192,0.484,0.12,0.412
False,False,label,True,False,30,Oversampling,SGD,0.174,0.618,0.101,0.112
False,False,label,True,False,30,Smote,RegresiÃ³n logÃ­stica,0.188,0.488,0.116,0.398
False,False,label,True,False,30,Smote,SGD,0.18,0.589,0.106,0.123
False,False,label,True,False,60,Oversampling,Decision Tree,0.1,0.101,0.098,0.931
False,False,label,True,False,60,Smote,Decision Tree,0.094,0.113,0.081,0.918
False,False,label,True,False,60,Oversampling,Random forest,0.041,0.024,0.137,0.957
False,False,label,True,False,60,Smote,Random forest,0.065,0.039,0.204,0.958
False,False,label,True,False,60,Oversampling,XG Boost,0.146,0.462,0.087,0.798
False,False,label,True,False,60,Smote,XG Boost,0.027,0.014,0.545,0.961
False,False,label,True,False,60,Oversampling,RegresiÃ³n logÃ­stica,0.128,0.395,0.076,0.66
False,False,label,True,False,60,Oversampling,SGD,0.132,0.356,0.081,0.557
False,False,label,True,False,60,Smote,RegresiÃ³n logÃ­stica,0.119,0.416,0.07,0.648
False,False,label,True,False,60,Smote,SGD,0.127,0.355,0.077,0.662
False,False,label,False,True,15,Oversampling,Decision Tree,0.184,0.186,0.181,0.526
False,False,label,False,True,15,Smote,Decision Tree,0.177,0.192,0.164,0.518
False,False,label,False,True,15,Oversampling,Random forest,0.211,0.171,0.276,0.596
False,False,label,False,True,15,Smote,Random forest,0.196,0.15,0.282,0.604
False,False,label,False,True,15,Oversampling,XG Boost,0.306,0.491,0.222,0.511
False,False,label,False,True,15,Smote,XG Boost,0.106,0.06,0.443,0.637
False,False,label,False,True,15,Oversampling,RegresiÃ³n logÃ­stica,0.258,0.459,0.179,0.41
False,False,label,False,True,15,Oversampling,SGD,0.251,0.386,0.186,0.442
False,False,label,False,True,15,Smote,RegresiÃ³n logÃ­stica,0.256,0.47,0.176,0.403
False,False,label,False,True,15,Smote,SGD,0.255,0.427,0.182,0.408
False,False,label,False,True,30,Oversampling,Decision Tree,0.135,0.137,0.133,0.828
False,False,label,False,True,30,Smote,Decision Tree,0.145,0.168,0.127,0.806
False,False,label,False,True,30,Oversampling,Random forest,0.1,0.065,0.215,0.883
False,False,label,False,True,30,Smote,Random forest,0.122,0.081,0.254,0.883
False,False,label,False,True,30,Oversampling,XG Boost,0.223,0.496,0.144,0.608
False,False,label,False,True,30,Smote,XG Boost,0.049,0.026,0.395,0.896
False,False,label,False,True,30,Oversampling,RegresiÃ³n logÃ­stica,0.194,0.463,0.123,0.439
False,False,label,False,True,30,Oversampling,SGD,0.193,0.441,0.124,0.369
False,False,label,False,True,30,Smote,RegresiÃ³n logÃ­stica,0.189,0.466,0.119,0.432
False,False,label,False,True,30,Smote,SGD,0.176,0.558,0.104,0.274
False,False,label,False,True,60,Oversampling,Decision Tree,0.088,0.087,0.088,0.932
False,False,label,False,True,60,Smote,Decision Tree,0.101,0.123,0.086,0.918
False,False,label,False,True,60,Oversampling,Random forest,0.037,0.021,0.133,0.958
False,False,label,False,True,60,Smote,Random forest,0.076,0.046,0.223,0.958
False,False,label,False,True,60,Oversampling,XG Boost,0.138,0.444,0.081,0.793
False,False,label,False,True,60,Smote,XG Boost,0.013,0.007,0.5,0.962
False,False,label,False,True,60,Oversampling,RegresiÃ³n logÃ­stica,0.123,0.449,0.071,0.636
False,False,label,False,True,60,Oversampling,SGD,0.122,0.415,0.071,0.599
False,False,label,False,True,60,Smote,RegresiÃ³n logÃ­stica,0.12,0.474,0.069,0.633
False,False,label,False,True,60,Smote,SGD,0.127,0.378,0.076,0.703
False,False,label,False,False,15,Oversampling,Decision Tree,0.208,0.218,0.199,0.52
False,False,label,False,False,15,Smote,Decision Tree,0.215,0.236,0.198,0.519
False,False,label,False,False,15,Oversampling,Random forest,0.239,0.197,0.306,0.596
False,False,label,False,False,15,Smote,Random forest,0.234,0.182,0.326,0.604
False,False,label,False,False,15,Oversampling,XG Boost,0.33,0.52,0.241,0.514
False,False,label,False,False,15,Smote,XG Boost,0.139,0.08,0.524,0.637
False,False,label,False,False,15,Oversampling,RegresiÃ³n logÃ­stica,0.261,0.448,0.184,0.419
False,False,label,False,False,15,Oversampling,SGD,0.251,0.563,0.161,0.323
False,False,label,False,False,15,Smote,RegresiÃ³n logÃ­stica,0.263,0.447,0.186,0.42
False,False,label,False,False,15,Smote,SGD,0.167,0.145,0.196,0.375
False,False,label,False,False,30,Oversampling,Decision Tree,0.156,0.156,0.156,0.827
False,False,label,False,False,30,Smote,Decision Tree,0.163,0.19,0.142,0.799
False,False,label,False,False,30,Oversampling,Random forest,0.144,0.095,0.295,0.882
False,False,label,False,False,30,Smote,Random forest,0.161,0.109,0.315,0.882
False,False,label,False,False,30,Oversampling,XG Boost,0.244,0.508,0.16,0.612
False,False,label,False,False,30,Smote,XG Boost,0.101,0.056,0.493,0.893
False,False,label,False,False,30,Oversampling,RegresiÃ³n logÃ­stica,0.189,0.46,0.119,0.437
False,False,label,False,False,30,Oversampling,SGD,0.173,0.575,0.102,0.136
False,False,label,False,False,30,Smote,RegresiÃ³n logÃ­stica,0.188,0.473,0.117,0.427
False,False,label,False,False,30,Smote,SGD,0.166,0.627,0.095,0.139
False,False,label,False,False,60,Oversampling,Decision Tree,0.131,0.131,0.131,0.93
False,False,label,False,False,60,Smote,Decision Tree,0.132,0.163,0.111,0.914
False,False,label,False,False,60,Oversampling,Random forest,0.104,0.064,0.265,0.955
False,False,label,False,False,60,Smote,Random forest,0.107,0.069,0.247,0.954
False,False,label,False,False,60,Oversampling,XG Boost,0.166,0.496,0.1,0.8
False,False,label,False,False,60,Smote,XG Boost,0.075,0.041,0.52,0.959
False,False,label,False,False,60,Oversampling,RegresiÃ³n logÃ­stica,0.115,0.436,0.066,0.62
False,False,label,False,False,60,Oversampling,SGD,0.131,0.373,0.08,0.642
False,False,label,False,False,60,Smote,RegresiÃ³n logÃ­stica,0.114,0.455,0.065,0.617
False,False,label,False,False,60,Smote,SGD,0.128,0.359,0.078,0.648
